megawatthours	BPAT	Demand	Day-ahead demand forecast	Net generation	Total interchange	CISO	Demand	Day-ahead demand forecast	Net generation	Total interchange	CPLE	Demand	Day-ahead demand forecast	Net generation	Total interchange	ERCO	Demand	Day-ahead demand forecast	Net generation	Total interchange	FPL	Demand	Day-ahead demand forecast	Net generation	Total interchange	ISNE	Demand	Day-ahead demand forecast	Net generation	Total interchange	MISO	Demand	Day-ahead demand forecast	Net generation	Total interchange	NYIS	Demand	Day-ahead demand forecast	Net generation	Total interchange	PACW	Demand	Day-ahead demand forecast	Net generation	Total interchange	PJM	Demand	Day-ahead demand forecast	Net generation	Total interchange	United States Lower 48 (region)	Demand	Day-ahead demand forecast	Net generation	Total interchange
02:00 EST 2/28/2021	NA	6279	6571	9949	8130	NA	22400	21834	13400	-7515	NA	4859	4536	5112	253	NA	32276	33833	32477	201	NA	10547	9841	10603	56	NA	11482	10850	9416	-2066	NA	59847	59594	56712	-4025	NA	14227	14056	12024	-2203	NA	2355	2425	2291	-64	NA	76261	73428	79909	3651	NA	368405	362818	363156	219
03:00 EST 2/28/2021	NA	6019	6280	9552	8040	NA	21266	20784	12687	-7248	NA	4777	4379	4910	133	NA	31038	32454	31270	232	NA	9959	9489	10094	135	NA	11776	10660	9363	-2413	NA	59381	58459	55572	-4516	NA	13952	13789	11987	-1965	NA	2257	2303	2278	21	NA	74999	72997	78843	3847	NA	359474	354569	354218	314
04:00 EST 2/28/2021	NA	5885	6084	9283	7716	NA	20450	19848	12320	-7039	NA	4740	4325	4824	84	NA	30190	31107	30325	136	NA	9613	9145	9751	138	NA	11725	10620	9205	-2520	NA	58458	57809	53819	-5241	NA	13833	13644	12022	-1811	NA	2200	2211	2266	66	NA	73394	73142	77499	4108	NA	352490	349115	347774	511
05:00 EST 2/28/2021	NA	5789	5864	9150	7719	NA	19898	19272	12319	-6675	NA	4762	4336	4849	87	NA	29609	30963	29723	114	NA	9428	9038	9562	134	NA	11851	10750	9297	-2554	NA	58350	57601	53524	-5390	NA	13782	13686	12092	-1690	NA	2144	2169	2124	-20	NA	73148	74091	77131	3986	NA	349786	347776	345300	635
06:00 EST 2/28/2021	NA	5759	5817	9099	7497	NA	19701	18826	12316	-6570	NA	4875	4411	5032	157	NA	29331	31077	29447	116	NA	9420	9254	9587	167	NA	11909	11050	9388	-2521	NA	58207	57960	54015	-4847	NA	14016	13934	12302	-1714	NA	2171	2140	2076	-95	NA	73326	75728	76887	3564	NA	350359	351334	346038	408
07:00 EST 2/28/2021	NA	5803	5853	9139	7498	NA	19543	18654	12264	-6497	NA	5063	4527	5067	4	NA	29457	31389	29741	284	NA	9693	9569	9831	138	NA	12006	11500	9804	-2202	NA	58107	58806	54976	-3870	NA	14407	14274	12247	-2160	NA	2179	2161	1964	-215	NA	75134	78005	78450	3320	NA	355274	358147	350956	317
08:00 EST 2/28/2021	NA	5974	6014	9261	7526	NA	19669	18742	12202	-6562	NA	5254	4770	5091	-163	NA	30199	32167	30321	122	NA	10543	10812	10659	116	NA	12247	11940	10093	-2154	NA	59039	60461	56427	-3711	NA	14834	14638	12639	-2195	NA	2237	2213	1857	-380	NA	77193	80627	80298	3108	NA	363868	369985	358825	-410
09:00 EST 2/28/2021	NA	6214	6293	9569	7461	NA	20036	19206	13019	-6822	NA	5562	5166	5321	-241	NA	30894	33215	31093	198	NA	12580	12660	12547	-33	NA	12512	12340	10579	-1933	NA	60611	62646	58412	-3462	NA	15429	15127	12764	-2665	NA	2362	2309	1682	-680	NA	80173	82421	83591	3421	NA	379120	384503	374729	-815
10:00 EST 2/28/2021	NA	6611	6676	10524	8174	NA	20571	19745	13287	-6685	NA	5793	5275	5576	-217	NA	32502	34280	32658	155	NA	14288	14122	14176	-112	NA	12686	12690	10533	-2153	NA	62858	64671	60827	-3425	NA	15974	15496	13495	-2479	NA	2539	2435	1585	-954	NA	82911	82999	86193	3285	NA	395078	395722	389757	-1153
11:00 EST 2/28/2021	NA	6920	7024	11068	8329	NA	20002	19586	15392	-5751	NA	5803	5402	5838	35	NA	34326	35648	34553	227	NA	15665	15060	15621	-44	NA	12880	12900	10468	-2412	NA	64714	65893	62721	-3307	NA	16362	15763	14160	-2202	NA	2675	2637	1576	-1099	NA	84643	83072	88058	3418	NA	405979	403016	402044	-1299
12:00 EST 2/28/2021	NA	7048	7253	11326	8079	NA	18872	18229	16145	-2965	NA	5793	5357	6018	225	NA	35787	36768	36026	238	NA	16700	15385	16647	-53	NA	12927	12980	10409	-2518	NA	65623	66417	63958	-3028	NA	16577	15993	14363	-2214	NA	2700	2726	1479	-1221	NA	85115	82915	88610	3498	NA	411276	405475	407395	-756
13:00 EST 2/28/2021	NA	7069	7251	11349	7762	NA	17805	16901	15706	-1876	NA	5800	5547	6293	493	NA	36838	37649	37114	277	NA	17547	15642	17606	59	NA	12964	12970	10484	-2480	NA	65969	66581	64244	-3011	NA	16783	16164	14472	-2311	NA	2632	2710	1422	-1210	NA	85160	81899	88535	3378	NA	413643	405587	409612	-658
14:00 EST 2/28/2021	NA	6859	7062	10976	7576	NA	16850	15905	15080	-1271	NA	5682	5660	6132	450	NA	37474	37846	37749	276	NA	18097	15845	18144	47	NA	13051	12940	10759	-2292	NA	65906	66555	64256	-2947	NA	16828	16171	14471	-2357	NA	2499	2644	1393	-1106	NA	84883	81115	88402	3523	NA	413317	403938	409311	-411
15:00 EST 2/28/2021	NA	6643	6865	10745	7460	NA	16155	15276	14764	-1108	NA	5655	5670	5975	320	NA	37928	38230	38096	168	NA	18414	15918	18477	63	NA	13093	13010	10971	-2122	NA	65574	66319	64015	-2767	NA	16854	16176	14283	-2571	NA	2365	2544	1344	-1021	NA	84159	81017	88113	3957	NA	411901	403303	408154	-366
16:00 EST 2/28/2021	NA	6457	6654	10393	7239	NA	15846	15052	14154	-1047	NA	5701	5818	5655	-46	NA	38093	38041	38183	90	NA	18499	16016	18486	-13	NA	13450	13250	11280	-2170	NA	65315	66104	63847	-2749	NA	16986	16341	14567	-2419	NA	2258	2486	1273	-985	NA	84063	82513	87797	3737	NA	411474	404339	407212	-1417
17:00 EST 2/28/2021	NA	6227	6492	9893	7051	NA	15786	15317	14457	-1314	NA	5781	5921	5315	-466	NA	38154	37981	38200	46	NA	18242	16054	17938	-304	NA	14084	13920	11797	-2287	NA	65720	66348	64153	-2808	NA	17293	16757	15130	-2163	NA	2166	2412	1230	-936	NA	85362	85752	89206	3847	NA	413384	409301	409631	-565
18:00 EST 2/28/2021	NA	6030	6348	9516	6795	NA	16492	16015	16003	-1384	NA	5978	6097	5228	-750	NA	38343	37929	38373	30	NA	17785	15698	17467	-318	NA	14980	14970	12577	-2403	NA	66794	67327	64572	-3182	NA	17797	17261	15627	-2170	NA	2100	2346	1137	-963	NA	87589	88229	92077	4492	NA	419955	415815	416641	-802
19:00 EST 2/28/2021	NA	5993	6332	9313	6786	NA	17850	17306	16445	-1126	NA	6367	6440	5365	-1002	NA	38670	38413	38674	3	NA	17369	15841	17141	-228	NA	15267	15150	12779	-2488	NA	69044	69117	65951	-3979	NA	18214	17837	16105	-2109	NA	2117	2329	1068	-1049	NA	89930	88044	94510	4585	NA	430110	423962	425240	-990
20:00 EST 2/28/2021	NA	6146	6475	9599	7606	NA	19479	19106	14239	-3616	NA	6434	6534	5516	-918	NA	39652	39475	39656	4	NA	17125	15357	17136	11	NA	14763	14720	12173	-2590	NA	71274	71198	68168	-3867	NA	17901	17577	16008	-1893	NA	2134	2396	992	-1142	NA	89747	86532	93987	4243	NA	438889	429912	432211	-741
21:00 EST 2/28/2021	NA	6485	6826	10910	8869	NA	22430	21691	15554	-6839	NA	6220	6287	5409	-811	NA	40272	40237	40275	3	NA	16124	14630	16313	189	NA	14073	14070	11757	-2316	NA	71006	70657	67884	-4039	NA	17381	16987	15654	-1727	NA	2307	2569	957	-1350	NA	87428	83605	91211	3786	NA	437871	429541	432912	431
22:00 EST 2/28/2021	NA	6743	7075	11083	8636	NA	24601	24102	15982	-7729	NA	5810	5964	5243	-567	NA	39662	39780	39668	6	NA	15179	13658	15305	126	NA	13279	13230	11155	-2124	NA	69506	69350	66327	-4038	NA	16667	16308	14852	-1815	NA	2598	2686	963	-1635	NA	84354	79901	88244	3893	NA	430016	421767	425370	867
23:00 EST 2/28/2021	NA	6700	7058	11239	8699	NA	24457	24188	15553	-7514	NA	5476	5513	5074	-402	NA	38389	38645	38603	214	NA	13920	12482	14107	187	NA	12576	12220	10215	-2361	NA	67478	67397	63948	-4485	NA	15754	15508	14220	-1534	NA	2512	2694	1049	-1463	NA	80631	76168	84726	4099	NA	415254	406170	410175	590
00:00 EST 3/1/2021	NA	6538	6918	10678	8199	NA	23837	23535	14815	-7700	NA	5058	5184	4739	-319	NA	36415	36759	36658	243	NA	12481	11333	12609	128	NA	12266	11350	-41	-12307	NA	64926	64994	60828	-4835	NA	14933	14696	13443	-1490	NA	2448	2619	1110	-1338	NA	77411	73778	81729	4321	NA	396784	389134	391925	2712
01:00 EST 3/1/2021	NA	6320	6629	9963	7575	NA	23091	22604	13936	-7617	NA	4724	4595	4698	-26	NA	34254	34768	34344	90	NA	11324	10429	11531	207	NA	12037	10910	9500	-2537	NA	62993	62470	58060	-5668	NA	14310	13993	12723	-1587	NA	2336	2490	1061	-1275	NA	75944	72213	81041	5100	NA	380630	371145	374733	-306
02:00 EST 3/1/2021	NA	5938	6236	8818	6680	NA	21821	21436	12854	-7292	NA	4520	4514	4618	98	NA	32653	32952	32817	165	NA	10489	9746	10715	226	NA	11735	10610	9144	-2591	NA	62911	61235	57238	-6104	NA	13924	13591	12263	-1661	NA	2200	2316	998	-1202	NA	74747	71576	80669	5926	NA	369097	360375	362830	-339
03:00 EST 3/1/2021	NA	5668	5901	8313	6285	NA	20573	20251	12124	-6817	NA	4412	4328	4488	76	NA	31702	31856	32062	360	NA	9939	9671	10158	219	NA	11601	10490	8908	-2693	NA	62325	60703	56703	-6118	NA	13704	13372	12434	-1270	NA	2098	2210	986	-1112	NA	73474	71876	79427	5956	NA	360609	354380	354609	-141
04:00 EST 3/1/2021	NA	5567	5588	7911	6022	NA	19983	19700	12125	-6707	NA	4373	4394	4481	108	NA	31284	31247	31733	449	NA	9668	9371	9886	218	NA	11650	10520	8908	-2742	NA	62215	60669	57067	-5811	NA	13648	13343	12519	-1129	NA	2030	2126	1107	-923	NA	73011	73536	78676	5669	NA	357417	352632	351500	-678
05:00 EST 3/1/2021	NA	5495	5574	7792	5780	NA	19564	19270	12143	-6372	NA	4466	4532	4485	19	NA	31288	31356	31701	413	NA	9765	9559	9963	198	NA	11959	11030	9221	-2738	NA	63035	61489	58105	-5480	NA	13901	13608	12644	-1257	NA	2033	2102	1292	-741	NA	74713	77839	80304	5595	NA	361347	359664	355512	-788
06:00 EST 3/1/2021	NA	5581	5629	7688	5646	NA	19331	19007	12247	-6065	NA	4800	4921	4607	-193	NA	32128	32383	32385	257	NA	10318	10251	10487	169	NA	12278	11880	9814	-2464	NA	64484	63938	60006	-5322	NA	14663	14442	13176	-1487	NA	2041	2107	1318	-723	NA	79141	84392	84668	5531	NA	374037	376585	368519	-847
07:00 EST 3/1/2021	NA	5721	5747	7836	5746	NA	19371	19096	12772	-5916	NA	5358	5590	4958	-400	NA	34146	34825	34339	192	NA	11304	11204	11425	121	NA	13064	13400	11514	-1550	NA	68230	68602	64664	-4404	NA	15964	15810	13773	-2191	NA	2100	2169	1330	-770	NA	86094	89580	90642	4553	NA	399018	402328	393502	-1120
08:00 EST 3/1/2021	NA	5967	6083	8482	6193	NA	20157	19819	14241	-5944	NA	5695	5956	5377	-318	NA	37436	38915	37492	56	NA	12316	12579	12418	102	NA	14092	14250	12693	-1399	NA	73488	73650	70830	-3930	NA	17108	16880	14419	-2689	NA	2238	2307	1341	-897	NA	91329	91520	95146	3822	NA	426959	427498	421857	-1620
09:00 EST 3/1/2021	NA	6579	6729	10289	7733	NA	21721	21429	16267	-5672	NA	5894	5961	5596	-298	NA	39395	40702	39400	5	NA	13591	13872	13817	226	NA	14534	14510	13001	-1533	NA	75973	75474	73340	-3835	NA	17894	17503	15310	-2584	NA	2509	2591	1346	-1163	NA	93883	91622	98039	4162	NA	446497	442159	441978	-774
10:00 EST 3/1/2021	NA	7288	7504	12140	9245	NA	23611	23583	16786	-6152	NA	5993	5940	5663	-330	NA	40253	41085	40256	3	NA	14875	14905	15111	236	NA	14696	14700	13070	-1626	NA	76356	75810	74042	-3604	NA	18295	17656	16011	-2284	NA	2852	2885	1369	-1483	NA	94892	91162	99047	4161	NA	457304	450556	452402	72
11:00 EST 3/1/2021	NA	7617	7802	12452	8976	NA	23870	24002	19232	-5881	NA	6075	6094	5640	-435	NA	40855	41490	40858	3	NA	16106	15560	16339	233	NA	14760	14740	13075	-1685	NA	76210	75590	74327	-3180	NA	18573	17706	16247	-2326	NA	3025	3017	1517	-1508	NA	95345	90479	99453	4114	NA	461889	452835	458302	-692
12:00 EST 3/1/2021	NA	7469	7632	11595	7951	NA	23037	22708	18883	-3758	NA	6168	6123	5830	-338	NA	41027	41932	41019	-8	NA	17153	15992	17058	-95	NA	15007	14670	12937	-2070	NA	75742	75107	73636	-3258	NA	18762	17579	16632	-2130	NA	2963	2987	1622	-1341	NA	95120	89480	99331	4216	NA	462677	450385	456957	-1409
13:00 EST 3/1/2021	NA	7138	7358	10550	7262	NA	22271	21243	18482	-3500	NA	6119	6192	5941	-178	NA	40713	41750	40687	-26	NA	18157	16356	18122	-35	NA	14998	14640	12621	-2377	NA	74980	74308	71912	-4334	NA	18745	17444	16620	-2125	NA	2825	2911	1703	-1122	NA	94204	88548	98987	4789	NA	458664	445765	452663	-1907
14:00 EST 3/1/2021	NA	6822	7051	10219	6645	NA	21159	20075	17629	-2962	NA	6051	6135	6024	-27	NA	40177	41558	40177	NA	NA	18768	16489	18762	-6	NA	14667	14600	12325	-2342	NA	74373	73398	70560	-4978	NA	18554	17203	16175	-2379	NA	2677	2824	1760	-917	NA	93317	87704	98439	5128	NA	453484	440767	446905	-2803
15:00 EST 3/1/2021	NA	6550	6781	10054	6657	NA	20488	19487	17744	-2691	NA	5989	6036	5928	-61	NA	39605	41290	39609	4	NA	19327	16616	19285	-42	NA	14554	14400	12240	-2314	NA	73298	72560	69085	-5449	NA	18414	17049	15548	-2866	NA	2548	2749	1814	-734	NA	92300	87567	97715	5421	NA	448451	436958	442016	-3246
16:00 EST 3/1/2021	NA	6349	6565	9411	6134	NA	20217	19272	17748	-2281	NA	6003	5943	5786	-217	NA	38864	40950	38868	4	NA	19669	16749	19412	-257	NA	14452	14280	12022	-2430	NA	72230	71688	67923	-5358	NA	18345	17153	15611	-2734	NA	2467	2676	1713	-754	NA	92230	89366	97463	5238	NA	444917	435391	437794	-3607
17:00 EST 3/1/2021	NA	6115	6380	9215	6185	NA	20229	19420	18176	-2325	NA	6080	5980	5616	-464	NA	38539	40745	38544	4	NA	19732	16618	19387	-345	NA	14641	14740	12260	-2381	NA	71762	71450	68058	-4835	NA	18731	17680	15988	-2743	NA	2396	2597	1672	-724	NA	93117	93925	98246	5135	NA	445146	439316	438779	-3407
18:00 EST 3/1/2021	NA	5979	6229	9000	6046	NA	20686	19951	18407	-2294	NA	6294	6226	5723	-571	NA	38949	40891	38953	4	NA	19290	16370	18936	-354	NA	15717	15530	13396	-2321	NA	72350	72255	68874	-4821	NA	19407	18489	16215	-3192	NA	2358	2532	1706	-652	NA	95434	97974	100411	4984	NA	451465	447141	444788	-3739
19:00 EST 3/1/2021	NA	5886	6187	8864	6281	NA	21570	21071	18104	-2922	NA	6656	6668	6002	-654	NA	39907	41662	39906	-1	NA	18702	16678	18323	-379	NA	16374	16100	13955	-2419	NA	74830	74899	71608	-4731	NA	20125	19219	17193	-2932	NA	2312	2516	1535	-777	NA	99804	98461	104402	4604	NA	464413	458033	457041	-3806
20:00 EST 3/1/2021	NA	6010	6375	10375	8077	NA	22739	22564	16687	-5035	NA	6631	6797	5917	-714	NA	41341	43239	41340	-1	NA	18176	16204	17813	-363	NA	15925	15840	13511	-2414	NA	77885	78041	74701	-4850	NA	19846	19005	17135	-2711	NA	2326	2567	1423	-903	NA	101098	97102	106089	4998	NA	474361	466503	467534	-2574
21:00 EST 3/1/2021	NA	6396	6794	11037	8619	NA	25047	24820	18651	-6661	NA	6434	6662	5822	-613	NA	41823	43814	41860	37	NA	16932	15213	16955	23	NA	15278	15330	12855	-2423	NA	77814	77603	74273	-5071	NA	19275	18472	17050	-2225	NA	2449	2694	1581	-868	NA	99780	94426	104120	4346	NA	474253	465862	469382	-1462
22:00 EST 3/1/2021	NA	6713	7154	11390	8959	NA	26935	26720	19202	-6961	NA	6151	6422	5469	-682	NA	41280	43483	41294	14	NA	15652	14038	15780	128	NA	14497	14440	11993	-2504	NA	76616	76062	73275	-4753	NA	18527	17762	16286	-2241	NA	2569	2799	1478	-1091	NA	97072	90659	101499	4431	NA	467119	457549	461641	-711
23:00 EST 3/1/2021	NA	6701	7165	11370	8946	NA	26421	26595	18180	-6578	NA	5803	6129	5471	-332	NA	39972	42191	40046	74	NA	14298	12732	14499	201	NA	13786	13450	11284	-2502	NA	74124	73615	70796	-4627	NA	17455	16745	15197	-2258	NA	2556	2754	1422	-1134	NA	93862	87034	97892	4034	NA	451307	440638	445021	-516
00:00 EST 3/2/2021	NA	6522	7015	10961	8651	NA	25594	25762	16368	-7174	NA	5430	5846	5481	51	NA	37970	40119	38049	78	NA	12656	11510	12763	107	NA	13187	12630	10861	-2326	NA	71537	70726	68631	-4144	NA	16777	15867	14210	-2567	NA	2485	2673	1436	-1049	NA	91824	85194	95916	4097	NA	433124	422499	425776	-200
01:00 EST 3/2/2021	NA	6236	6713	10376	8085	NA	24600	24664	15087	-7786	NA	5229	5569	5452	223	NA	36038	38005	36082	43	NA	11330	10405	11528	198	NA	13195	12410	10703	-2492	NA	70072	68684	68272	-3108	NA	16199	15610	13717	-2482	NA	2370	2533	1376	-994	NA	88742	85160	92090	3351	NA	415791	409038	410522	49
02:00 EST 3/2/2021	NA	5911	6285	8955	7130	NA	23133	23109	13806	-7652	NA	5132	5579	5326	194	NA	34737	35927	34824	87	NA	10439	9932	10635	196	NA	13087	12250	10488	-2599	NA	68867	67139	67242	-3136	NA	15930	15356	13186	-2744	NA	2226	2390	1250	-976	NA	87663	85359	91121	3462	NA	404930	398652	399018	-717
03:00 EST 3/2/2021	NA	5599	5977	8144	6472	NA	21798	21726	13218	-7361	NA	5161	5565	5357	196	NA	34132	35056	34295	163	NA	9903	9499	10117	214	NA	13110	12300	10523	-2587	NA	68028	66291	66239	-3220	NA	15866	15226	13232	-2634	NA	2103	2287	1224	-879	NA	87794	86286	91040	3250	NA	398775	389964	392722	-1429
04:00 EST 3/2/2021	NA	5493	5609	7768	6390	NA	20956	20401	12919	-7059	NA	5271	5750	5498	227	NA	33970	34879	34203	233	NA	9607	9216	9747	140	NA	13306	12500	10893	-2413	NA	68107	66045	66654	-2918	NA	15897	15263	13248	-2649	NA	2038	2130	1181	-857	NA	88063	88932	91232	3172	NA	397392	389467	392206	-698
05:00 EST 3/2/2021	NA	5432	5523	7596	6199	NA	20370	19813	12280	-7016	NA	5548	6097	5620	72	NA	34367	35307	34591	224	NA	9606	9412	9780	174	NA	13494	13030	11387	-2107	NA	68210	66657	67143	-2355	NA	16152	15587	13955	-2197	NA	2035	2094	1153	-882	NA	90463	94349	93455	2995	NA	401453	398382	397027	268
06:00 EST 3/2/2021	NA	5476	5570	7521	6232	NA	20074	19484	12331	-7090	NA	6222	6759	5812	-410	NA	35641	36251	35851	210	NA	10114	9936	10255	141	NA	13973	14060	12208	-1765	NA	68864	68910	68342	-1915	NA	16970	16424	14907	-2063	NA	2028	2098	1082	-946	NA	95844	101916	98411	2571	NA	415550	417429	411445	200
07:00 EST 3/2/2021	NA	5543	5676	7530	6362	NA	20120	19477	12634	-6828	NA	7020	7558	6439	-581	NA	38224	39202	38375	152	NA	11173	10835	11243	70	NA	15325	15560	13817	-1508	NA	73119	73306	72901	-1725	NA	18287	17763	15905	-2382	NA	2090	2145	1189	-901	NA	103461	106454	105707	2275	NA	443780	443353	439727	396
08:00 EST 3/2/2021	NA	5818	5973	8093	6701	NA	20800	20171	13467	-7077	NA	7389	7870	6818	-571	NA	42189	43492	42253	64	NA	12118	11852	12325	207	NA	15824	16270	14431	-1393	NA	78051	77635	78275	-1400	NA	19128	18606	16686	-2442	NA	2207	2290	1272	-935	NA	107117	105578	109682	2643	NA	469842	463197	466499	769
09:00 EST 3/2/2021	NA	6442	6606	10231	8340	NA	22170	21673	15402	-7289	NA	7387	7761	7190	-197	NA	43565	45108	43567	2	NA	13447	13174	13519	72	NA	15341	15800	14110	-1231	NA	79591	78495	79837	-1553	NA	19326	18804	17042	-2284	NA	2465	2584	1217	-1248	NA	105611	102382	108518	2948	NA	480391	470478	478405	1307
10:00 EST 3/2/2021	NA	7107	7391	12400	10003	NA	23883	23622	16335	-7648	NA	7202	7559	7223	21	NA	42365	44133	42400	35	NA	14759	14470	14920	161	NA	14670	15130	13477	-1193	NA	78896	77801	78311	-2381	NA	19039	18588	17000	-2039	NA	2816	2893	1220	-1596	NA	102489	99268	106266	3780	NA	480035	469335	478217	2029
11:00 EST 3/2/2021	NA	7455	7707	12580	9728	NA	24437	24153	18286	-6899	NA	7079	7281	7283	204	NA	40966	43064	41153	187	NA	15874	15610	15860	-14	NA	14319	14770	13154	-1165	NA	77903	76667	77116	-2209	NA	18701	18355	16189	-2512	NA	2979	3022	1142	-1837	NA	99995	96576	103655	3663	NA	475136	463701	472924	1278
12:00 EST 3/2/2021	NA	7346	7503	11821	8970	NA	23835	23299	18378	-5225	NA	6850	7013	7380	530	NA	39597	41936	39638	41	NA	16877	16672	16781	-96	NA	14311	14450	12742	-1569	NA	76982	75483	76155	-2314	NA	18770	18174	16009	-2761	NA	2906	2942	1126	-1780	NA	97687	94293	101613	3929	NA	469051	455929	465316	445
13:00 EST 3/2/2021	NA	7126	7164	10903	8288	NA	22196	21893	18245	-3231	NA	6735	6779	7064	329	NA	38381	40825	38396	16	NA	17742	17286	17622	-120	NA	14097	14110	12664	-1433	NA	75720	74295	74880	-2335	NA	18467	18000	15644	-2823	NA	2747	2829	1158	-1589	NA	96109	92152	99769	3664	NA	461181	446806	456817	349
14:00 EST 3/2/2021	NA	6864	6806	10471	8040	NA	21296	20869	18096	-2481	NA	6657	6576	6807	150	NA	37309	40038	37312	3	NA	18329	17608	18145	-184	NA	13915	14140	12448	-1467	NA	74424	73317	73913	-2006	NA	18314	17826	15544	-2770	NA	2592	2710	1229	-1363	NA	95217	90526	98415	3201	NA	454841	439452	450841	679
15:00 EST 3/2/2021	NA	6637	6517	10105	7835	NA	21038	20341	17350	-2664	NA	6639	6459	6681	42	NA	36423	39693	36527	103	NA	18706	18024	18559	-147	NA	14020	14270	12574	-1446	NA	73384	72384	73045	-1841	NA	18209	17779	15670	-2539	NA	2494	2612	1189	-1305	NA	93163	90022	95916	2757	NA	448936	435106	445028	1073
16:00 EST 3/2/2021	NA	6479	6300	9863	7606	NA	20697	20179	17967	-2957	NA	6688	6444	6439	-249	NA	35653	38946	35801	149	NA	18891	18136	18561	-330	NA	14635	14610	13329	-1306	NA	71996	71399	71757	-1562	NA	18369	18008	15604	-2765	NA	2407	2524	1197	-1210	NA	92126	91395	94854	2733	NA	444107	433548	441460	1206
17:00 EST 3/2/2021	NA	6309	6087	9567	7495	NA	20886	20257	17842	-3207	NA	6920	6555	6368	-552	NA	35333	38432	35338	5	NA	18886	17925	18595	-291	NA	15665	15610	14253	-1412	NA	70832	71043	69903	-2257	NA	19003	18592	16046	-2957	NA	2355	2454	1125	-1230	NA	93101	95638	96174	3079	NA	445404	437767	441984	469
18:00 EST 3/2/2021	NA	6176	5935	9519	7641	NA	21313	20748	15968	-3823	NA	7346	6886	6658	-688	NA	35484	38724	35487	3	NA	18467	17365	18062	-405	NA	17091	16850	15564	-1527	NA	71286	71628	70738	-1581	NA	20032	19462	17188	-2844	NA	2292	2399	1026	-1266	NA	95495	100062	99067	3578	NA	452793	447208	448549	1634
19:00 EST 3/2/2021	NA	6130	5892	9837	8134	NA	22034	21654	16534	-5519	NA	7871	7484	6798	-1073	NA	35827	39069	35825	-2	NA	17863	17287	17524	-339	NA	17650	17420	16086	-1564	NA	73298	73839	73317	-1296	NA	20795	20018	17863	-2932	NA	2266	2386	959	-1307	NA	100742	101320	104292	3556	NA	466225	457949	463741	1673
20:00 EST 3/2/2021	NA	6267	6080	10658	8785	NA	23539	23017	15765	-6776	NA	7948	7759	7068	-880	NA	37441	40768	37374	-67	NA	17426	16274	17200	-226	NA	17218	17110	15590	-1628	NA	76906	77526	76493	-2137	NA	20483	19840	17588	-2895	NA	2282	2434	831	-1451	NA	102933	100405	106233	3306	NA	477959	468339	473672	451
21:00 EST 3/2/2021	NA	6571	6551	11006	8943	NA	25394	24904	17435	-8043	NA	7838	7734	7066	-772	NA	39102	41489	39091	-11	NA	16243	15130	16200	-43	NA	16551	16450	14977	-1574	NA	77534	77564	77223	-1909	NA	19815	19322	17361	-2454	NA	2465	2586	883	-1582	NA	102282	97873	105051	2775	NA	479800	468359	476732	904
22:00 EST 3/2/2021	NA	6941	6980	11440	9220	NA	27037	26732	17292	-8267	NA	7574	7520	7067	-507	NA	39068	41644	39071	3	NA	14949	13915	14908	-41	NA	15617	15560	14157	-1460	NA	76134	76111	75483	-2238	NA	18946	18531	16314	-2632	NA	2555	2725	805	-1750	NA	99657	93964	102063	2412	NA	472653	461114	467483	539
23:00 EST 3/2/2021	NA	6934	7037	11582	9236	NA	26591	26482	17126	-8458	NA	7204	7141	6857	-347	NA	38449	40995	38461	12	NA	13542	12593	13569	27	NA	14478	14390	12869	-1609	NA	73725	73536	72120	-3146	NA	17792	17430	14923	-2869	NA	2576	2712	866	-1710	NA	96102	90168	98825	2728	NA	456310	444412	450629	-561
00:00 EST 3/3/2021	NA	6775	6929	11523	9168	NA	25668	25552	16269	-8037	NA	6823	6821	6379	-444	NA	37125	39515	37182	57	NA	12090	11271	12066	-24	NA	13532	13400	11829	-1703	NA	71590	70568	69408	-3445	NA	16745	16421	14139	-2606	NA	2503	2625	874	-1629	NA	93405	87594	96252	2850	NA	439336	425669	433108	-702
01:00 EST 3/3/2021	NA	6527	6646	10875	8657	NA	24601	24338	14528	-7982	NA	6579	6485	6180	-399	NA	35763	37794	35850	87	NA	10885	9902	10863	-22	NA	13197	12930	11525	-1672	NA	69806	69504	66765	-4466	NA	16035	15659	13801	-2234	NA	2385	2503	1069	-1316	NA	91050	87605	95151	4103	NA	422744	413529	416726	712
02:00 EST 3/3/2021	NA	6183	6222	9599	7596	NA	23153	22722	13741	-7959	NA	6463	6400	6155	-308	NA	34920	34563	34993	73	NA	10054	9615	10071	17	NA	12836	12570	11425	-1411	NA	68696	68040	65348	-4576	NA	15628	15214	13310	-2318	NA	2236	2348	921	-1315	NA	89290	87283	93267	3977	NA	411347	403926	406147	1477
03:00 EST 3/3/2021	NA	5863	5899	8507	6710	NA	21783	21321	12985	-7433	NA	6476	6335	6152	-324	NA	34655	34248	34727	73	NA	9513	9201	9570	57	NA	12656	12400	11040	-1616	NA	67954	67349	64405	-4720	NA	15376	14962	12950	-2426	NA	2132	2246	952	-1180	NA	89028	87917	93668	4640	NA	405118	401175	400076	1469
